Date,Mkt_RF,SMB,HML,RMW,CMA,RF,AAPL_RET
2021-07-13,-0.55,-1.21,-0.41,0.75,0.12,0.0,0.7889075421790626
2021-07-14,-0.25,-1.16,0.35,1.94,0.63,0.0,2.410073012437697
2021-07-15,-0.38,-0.26,0.79,0.34,-0.07,0.0,-0.4492233723661254
2021-07-16,-0.76,-0.4,-1.27,0.13,-0.84,0.0,-1.40758639286106
2021-07-19,-1.42,0.04,-1.77,-0.43,-1.11,0.0,-2.6914578589402827
2021-07-20,1.7,0.86,0.14,-0.58,0.33,0.0,2.5974168558718036
2021-07-21,0.95,0.73,0.81,-0.96,0.08,0.0,-0.5131591056473872
2021-07-22,0.1,-1.56,-1.02,0.5,-0.43,0.0,0.9628472095985385
2021-07-23,0.99,-0.33,-0.45,0.49,-0.36,0.0,1.198902116152678
2021-07-26,0.18,0.09,1.33,0.29,0.87,0.0,0.2894739473973784
2021-07-27,-0.65,-0.46,0.59,0.46,0.09,0.0,-1.4900510704299985
2021-07-28,0.27,1.21,-0.64,-1.57,-0.73,0.0,-1.2195957526999535
2021-07-29,0.41,0.22,0.94,0.82,0.55,0.0,0.455218688140846
2021-07-30,-0.65,-0.09,-0.18,0.57,0.42,0.0,0.15104836651167464
2021-08-02,-0.12,-0.13,-0.45,-0.07,-0.39,0.0,-0.23309313485551098
2021-08-03,0.73,-0.39,0.93,0.65,0.27,0.0,1.264442356105211
2021-08-04,-0.39,-0.98,-1.57,-0.37,-1.13,0.0,-0.278214481565775
2021-08-05,0.74,1.08,-0.12,-1.29,-0.4,0.0,0.07484025405244399
2021-08-06,0.09,0.46,1.88,0.48,0.29,0.0,-0.4767072793972593
2021-08-09,0.0,-0.46,-0.27,-0.64,-0.52,0.0,-0.03421590858090351
2021-08-10,0.06,0.38,1.82,0.72,0.92,0.0,-0.3354028821751065
2021-08-11,0.2,0.3,1.44,0.91,0.56,0.0,0.17856757891043795
2021-08-12,0.24,-0.68,-0.41,0.07,0.11,0.0,2.077344493586386
2021-08-13,0.02,-0.95,-0.27,0.7,-0.01,0.0,0.14102736220307222
2021-08-16,-0.03,-0.86,0.06,1.66,0.22,0.0,1.3548195462687262
2021-08-17,-0.79,-0.5,-0.13,-0.3,0.08,0.0,-0.615420640084996
2021-08-18,-0.96,0.1,-0.18,-0.32,-0.66,0.0,-2.550104673053455
2021-08-19,-0.13,-0.96,-0.83,1.38,-0.47,0.0,0.23231204096152425
2021-08-20,0.92,0.86,-0.5,-0.36,-0.32,0.0,1.015671463765333
2021-08-23,1.07,0.75,-0.83,-1.85,-0.1,0.0,1.0257132782843792
2021-08-24,0.4,0.4,0.35,-0.72,0.02,0.0,-0.060124155755780784
2021-08-25,0.27,0.06,0.36,-0.42,-0.01,0.0,-0.8421297632361324
2021-08-26,-0.65,-0.44,-0.33,-0.06,-0.12,0.0,-0.5527042076211686
2021-08-27,1.07,1.64,0.31,-0.69,0.16,0.0,0.7184581584570804
2021-08-30,0.35,-0.69,-1.39,0.66,0.07,0.0,3.041715051362215
2021-08-31,-0.13,0.46,-0.04,-0.47,-0.2,0.0,-0.8424720291045795
2021-09-01,0.11,0.4,-0.96,-0.45,-0.39,0.0,0.4478643850514663
2021-09-02,0.35,0.2,-0.02,-0.44,0.59,0.0,0.747491585715121
2021-09-03,-0.02,-0.56,-0.28,0.03,-0.31,0.0,0.4230353270019416
2021-09-07,-0.36,-0.36,-0.08,-0.6,0.14,0.0,1.548930375151536
2021-09-08,-0.33,-0.74,0.07,0.73,0.2,0.0,-1.0083617373278342
2021-09-09,-0.28,0.25,0.09,-0.78,-0.27,0.0,-0.6704875439247027
2021-09-10,-0.76,-0.03,0.02,0.2,-0.37,0.0,-3.3101879115258748
2021-09-13,0.14,0.24,1.35,0.23,0.93,0.0,0.38934143108160235
2021-09-14,-0.66,-0.67,-0.97,0.42,-0.47,0.0,-0.9561970068029502
2021-09-15,0.88,0.12,0.67,-0.24,0.43,0.0,0.6143481948151397
2021-09-16,-0.05,-0.1,-0.58,-0.42,-0.53,0.0,-0.16101377272370598
2021-09-17,-0.74,1.0,-0.05,-0.64,-0.48,0.0,-1.8347976792828957
2021-09-20,-1.86,-0.56,0.22,0.78,0.23,0.0,-2.136115527056859
2021-09-21,0.03,0.27,-0.68,-0.43,-0.36,0.0,0.34278325230250317
2021-09-22,1.0,0.14,0.61,-0.52,0.46,0.0,1.687244043941849
2021-09-23,1.28,0.46,0.92,-1.01,0.22,0.0,0.6719309610103252
2021-09-24,0.09,-0.4,0.71,0.57,0.23,0.0,0.06128218670837793
2021-09-27,-0.11,1.71,2.44,-0.24,0.78,0.0,-1.0550087966116228
2021-09-28,-2.17,-0.01,1.76,0.83,1.07,0.0,-2.3801280300133953
2021-09-29,0.04,-0.2,0.81,1.15,0.34,0.0,0.6482970222222217
2021-09-30,-1.03,0.07,-0.77,-1.24,-0.37,0.0,-0.931145626737051
